No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
1;A;Agilent Technologies Inc.;Healthcare;Medical Laboratories & Research;USA;34130;37.43;3.22;325.47;-29.00;79.30;116.70;-2.50;332.09;0.20;6.70;0.40;50.40;5.80
2;AA;Alcoa Inc.;Basic Materials;Aluminum;USA;14140;22.25;1.23;23.15;109.80;17.10;200.00;6.70;2210;0.30;3.70;0.77;21.40;1.80
3;AAPL;Apple Inc.;Consumer Goods;Electronic Equipment;USA;537340;15.76;5.73;13.85;13.60;37.80;40.40;27.10;7650;0.05;39.40;0.34;39.70;22.50
4;ABBV;AbbVie Inc.;Healthcare;Drug Manufacturers - Major;USA;231110;62.34;81.19;102.61;-57.20;-17.80;4.90;10.50;5710;0.10;56.00;11.09;79.40;8.90
5;ABC;AmerisourceBergen Corporation;Services;Drugs Wholesale;USA;64230;-;12.37;9.42;-42.40;-6.50;-406.60;14.80;207.71;0.30;-34.50;2.09;2.50;-0.50
6;ABT;Abbott Laboratories;Healthcare;Medical Appliances & Equipment;USA;44730;37.09;3.40;79.74;-10.30;-21.10;150.00;3.00;4910;0.30;20.40;0.39;55.80;22.40
7;ACE;ACE Limited;Financial;Property & Casualty Insurance;Switzerland;56330;12.35;1.14;9.70;-22.90;2.40;-4.70;-0.70;324.35;0.80;9.40;0.24;-;14.60
8;ACN;Accenture plc;Technology;Information Technology Services;Ireland;85650;21.77;10.43;25.69;-8.30;13.10;11.30;4.80;464.40;0.20;53.30;0.00;29.80;9.30
9;ADBE;Adobe Systems Incorporated;Technology;Application Software;USA;99410;116.58;6.34;36.21;-5.40;-6.20;70.60;8.80;498.58;0.10;5.50;0.29;84.60;8.40
10;ADI;Analog Devices, Inc.;Technology;Semiconductor - Integrated Circuits;USA;88200;31.26;4.19;58.43;-7.50;18.40;10.20;18.20;311.21;0.20;13.80;0.18;64.10;21.50
11;ADM;Archer-Daniels-Midland Company;Consumer Goods;Farm Products;USA;45310;13.34;1.72;8.34;69.80;2.70;92.50;-15.40;606.52;0.30;12.60;0.34;6.70;3.20
12;ADP;Automatic Data Processing, Inc.;Technology;Business Software & Services;USA;13390;28.25;7.57;51.56;11.50;3.50;15.60;7.30;467.18;0.10;25.40;0.00;41.10;13.00
13;ADS;Alliance Data Systems Corporation;Services;Business Services;USA;86180;35.39;10.03;18.34;9.30;21.50;23.10;29.90;60.61;2.30;33.60;5.06;39.40;9.40
14;ADSK;Autodesk, Inc.;Technology;Technical & System Software;USA;13120;171.94;5.44;24.15;-65.00;7.00;-33.30;9.10;226.98;0.40;3.20;0.34;86.20;2.80
15;ADT;The ADT Corporation;Services;Security & Protection Services;USA;8350;19.55;1.93;9.86;-11.70;9.40;17.60;6.30;170.80;0.40;9.80;1.75;58.10;8.70
16;AEE;Ameren Corporation;Utilities;Electric Utilities;USA;1090;15.25;1.36;-;14.80;-2.90;12.50;-2.40;241.97;0.30;8.90;1.07;82.90;9.90
17;AEP;American Electric Power Co., Inc.;Utilities;Electric Utilities;USA;76250;15.12;1.49;-;9.90;2.40;11.30;1.30;489.24;0.06;10.10;1.16;87.30;10.00
18;AES;The AES Corporation;Utilities;Electric Utilities;USA;5090;10.10;2.37;-;186.80;0.20;433.30;-6.50;701.06;0.20;22.90;5.07;17.90;5.70
19;AET;Aetna Inc.;Healthcare;Health Care Plans;USA;30460;21.92;3.08;16.90;6.60;14.90;20.90;7.90;347.82;0.40;14.60;0.54;-;3.60
20;AFL;AFLAC Inc.;Financial;Accident & Health Insurance;USA;48270;9.88;1.49;4.79;-3.80;15.30;-5.60;-7.30;423.15;0.30;15.90;0.34;-;12.90
21;AGN;Allergan plc;Healthcare;Drugs - Generic;USA;321210;-;1.82;-;27.90;42.18;-;59.50;391.02;9.90;-;-;-;-
22;AIG;American International Group, Inc.;Financial;Property & Casualty Insurance;USA;24830;10.65;0.79;20.72;-13.80;15.50;58.90;-0.90;3310;0.06;7.80;0.30;-;13.00
23;AIV;Apartment Investment and Management Company;Financial;REIT - Residential;USA;8050;265.21;3.92;-;-72.40;15.30;150.00;-1.80;154.83;0.60;34.70;2.67;62.30;39.80
24;AIZ;Assurant Inc.;Financial;Accident & Health Insurance;USA;6240;12.91;0.93;-;2.20;12.00;-61.80;6.20;67.02;1.00;7.30;0.23;-;3.60
25;AKAM;Akamai Technologies, Inc.;Technology;Internet Information Providers;USA;74120;38.17;4.27;42.91;14.30;18.70;7.50;16.10;173.50;0.30;11.70;0.20;68.60;16.60
26;ALL;The Allstate Corporation;Financial;Property & Casualty Insurance;USA;60260;9.97;1.32;9.51;30.40;31.70;17.70;2.70;407.92;0.20;13.60;0.25;-;7.90
27;ALLE;Allegion plc Ordinary Shares;Technology;Scientific & Technical Instruments;USA;9150;30.56;-;33.33;418.90;0.00;23.70;-1.70;95.53;0.30;-759.00;-;40.50;8.80
28;ALTR;Altera Corp.;Technology;Semiconductor - Specialized;USA;44150;35.12;4.68;39.31;11.80;12.60;-16.20;-5.60;299.98;0.30;13.60;0.45;65.80;23.70
29;ALXN;Alexion Pharmaceuticals, Inc.;Healthcare;Biotechnology;USA;11370;63.66;10.54;71.63;156.70;14.90;-43.00;5.90;198.77;0.80;18.40;0.01;90.70;26.00
30;AMAT;Applied Materials, Inc.;Technology;Semiconductor Equipment & Materials;USA;71240;19.48;2.95;39.85;314.30;42.00;38.10;3.80;2310;0.30;15.90;0.23;42.10;13.60
31;AME;Ametek Inc.;Industrial Goods;Diversified Machinery;USA;99120;22.61;3.97;24.60;12.90;22.80;3.50;0.90;238.04;1.20;17.50;0.51;35.30;14.50
32;AMG;Affiliated Managers Group Inc.;Financial;Asset Management;USA;36120;27.25;4.84;10.35;21.70;41.20;57.90;7.10;54.40;0.40;22.50;0.75;-;22.70
33;AMGN;Amgen Inc.;Healthcare;Biotechnology;USA;711200;21.43;4.56;20.80;0.90;8.20;50.70;11.30;759.13;0.10;22.40;1.14;80.70;27.70
34;AMP;Ameriprise Financial, Inc.;Financial;Asset Management;USA;19230;15.26;2.91;9.98;28.60;23.00;3.50;1.90;180.92;0.30;19.50;2.19;50.90;13.00
35;AMT;American Tower Corporation;Financial;REIT - Diversified;USA;08400;48.84;5.22;57.92;44.90;27.70;-11.80;9.70;422.61;0.20;15.70;2.14;73.80;18.60
36;AMZN;Amazon.com Inc.;Services;Catalog & Mail Order Houses;USA;952040;-;18.82;64.84;-188.10;-17.70;-152.20;15.10;381.31;18.10;-3.00;0.76;30.30;-0.30
37;AN;AutoNation, Inc.;Services;Auto Dealerships;USA;3470;17.30;3.31;30.22;15.70;21.90;22.80;13.30;100.06;0.20;20.70;1.37;15.60;2.20
38;ANTM;Anthem, Inc.;Healthcare;Health Care Plans;USA;06450;17.62;1.87;18.46;3.20;-2.00;30.90;6.70;263.77;0.30;11.20;0.65;-;3.60
39;AON;Aon plc;Financial;Insurance Brokers;United Kingdom;04290;21.65;4.60;23.52;32.00;16.40;7.50;-3.40;278.81;0.80;20.10;0.92;-;11.70
40;APA;Apache Corp.;Basic Materials;Independent Oil & Gas;USA;80210;-;1.03;-;-317.10;-12.48;-749.50;-50.50;375.34;0.20;-36.30;0.58;79.80;-83.80
41;APC;Anadarko Petroleum Corporation;Basic Materials;Independent Oil & Gas;USA;01410;-;2.51;-;-321.00;-65.40;-21.70;-60.30;506.92;0.10;-26.40;1.03;83.70;-33.60
42;APD;Air Products & Chemicals Inc.;Basic Materials;Chemicals - Major Diversified;USA;67300;29.94;4.19;-;-3.00;8.90;0.80;-6.50;214.22;0.10;13.90;0.81;28.20;10.00
43;APH;Amphenol Corporation;Technology;Diversified Electronics;USA;36170;24.53;5.91;35.25;12.80;19.40;16.30;6.50;307.81;0.40;24.70;0.94;31.90;13.50
44;ARG;Airgas, Inc.;Basic Materials;Chemicals - Major Diversified;USA;0980;22.05;3.75;95.32;3.60;15.70;-1.70;2.70;67.94;9.20;18.00;1.11;55.60;6.90
45;ATI;Allegheny Technologies Inc.;Industrial Goods;Metal Fabrication;USA;4330;130.96;1.30;-;97.80;-15.60;152.90;14.00;107.99;1.20;1.00;0.59;9.30;0.60
46;AVB;Avalonbay Communities Inc.;Financial;REIT - Residential;USA;35210;28.58;2.34;-;991.10;36.40;95.00;10.60;131.59;0.30;9.90;0.72;64.90;51.50
47;AVGO;Avago Technologies Limited;Technology;Semiconductor - Broad Line;Singapore;16360;57.06;8.85;41.38;-47.00;50.80;95.10;130.20;259.54;0.30;19.00;0.98;47.00;10.90
48;AVP;Avon Products Inc.;Consumer Goods;Personal Products;USA;9420;-;-;68.88;-57.30;-21.30;13.20;-17.80;434.60;0.10;-99.90;-;61.60;-6.30
49;AVY;Avery Dennison Corporation;Consumer Goods;Business Equipment;USA;5950;23.00;5.42;26.96;7.40;18.40;5.50;-1.40;90.60;0.40;20.70;1.18;26.50;4.00
50;AXP;American Express Company;Financial;Credit Services;USA;14810;14.01;3.73;10.76;14.50;29.40;11.30;-2.90;0110;0.20;28.60;4.67;73.30;16.60
51;AZO;AutoZone, Inc.;Services;Auto Parts Stores;USA;00210;19.59;-;23.68;13.60;21.90;13.10;6.50;30.23;0.50;-70.80;-;52.20;11.40
52;BA;The Boeing Company;Industrial Goods;Aerospace/Defense Products & Services;USA;51980;17.83;12.70;29.79;23.60;31.60;46.10;8.20;691.07;0.20;51.50;1.14;15.70;6.30
53;BAC;Bank of America Corporation;Financial;Money Center Banks;USA;421820;25.93;0.80;-;-60.00;26.50;640.00;-7.50;49100;0.04;3.30;1.04;-;14.70
54;BAX;Baxter International Inc.;Healthcare;Medical Instruments & Supplies;USA;37390;21.28;5.41;-;-2.70;-0.20;-17.20;-2.20;543.24;0.20;36.10;1.38;49.00;17.60
55;BBBY;Bed Bath & Beyond Inc.;Services;Home Furnishing Stores;USA;86110;13.52;4.43;13.87;5.80;17.10;12.50;4.20;162.94;1.50;30.00;0.55;38.90;8.10
56;BBT;BB&T Corporation;Financial;Regional - Southeast Banks;USA;66290;15.19;1.34;21.81;24.20;18.80;-1.50;-3.40;720.35;0.40;9.10;1.06;-;32.40
57;BBY;Best Buy Co., Inc.;Services;Electronics Stores;USA;93110;14.90;2.45;20.23;76.00;1.40;-92.50;-0.90;301.13;0.90;31.80;0.33;22.60;3.70
58;BCR;CR Bard Inc.;Healthcare;Medical Instruments & Supplies;USA;83120;47.49;7.35;28.73;-55.20;-4.00;-2.20;2.60;73.84;0.60;15.80;0.93;62.30;8.40
59;BDX;Becton, Dickinson and Company;Healthcare;Medical Instruments & Supplies;USA;71290;25.99;3.89;79.66;28.50;4.80;-25.50;-1.00;208.78;0.20;19.00;1.93;50.90;12.80
60;BEN;Franklin Resources, Inc.;Financial;Asset Management;USA;12310;13.14;2.63;16.09;12.50;24.20;10.10;-4.10;386.94;15.80;20.60;0.21;-;28.40
61;BF-B;Brown-Forman Corporation;Consumer Goods;Beverages - Wineries & Distillers;USA;34210;30.98;11.02;93.58;4.90;9.80;6.50;7.40;159.99;0.90;59.00;0.62;69.70;38.00
62;BHI;Baker Hughes Incorporated;Basic Materials;Oil & Gas Equipment & Services;USA;98260;33.91;1.52;28.37;58.70;23.80;-282.40;-19.80;433.74;0.20;4.40;0.23;17.30;3.40
63;BIIB;Biogen Inc.;Healthcare;Biotechnology;USA;75960;29.70;8.28;29.87;58.40;29.90;72.80;20.00;234.99;0.10;30.90;0.05;88.10;32.40
64;BK;The Bank of New York Mellon Corporation;Financial;Asset Management;USA;06480;18.96;1.34;12.18;24.30;33.90;17.50;-0.60;0810;0.30;7.00;0.57;-;79.20
65;BLK;BlackRock, Inc.;Financial;Asset Management;USA;80570;17.81;2.14;44.91;14.10;25.80;10.00;2.00;156.78;2.30;12.40;0.33;89.30;30.20
66;BLL;Ball Corporation;Consumer Goods;Packaging & Containers;USA;00100;25.91;10.58;21.70;21.30;10.00;-76.90;-4.20;135.81;0.90;36.10;3.72;19.30;4.70
67;BMY;Bristol-Myers Squibb Company;Healthcare;Drug Manufacturers - Major;USA;421110;49.51;7.15;565.59;-22.10;-5.90;26.80;6.00;6710;0.10;14.80;0.48;77.20;14.00
68;BRCM;Broadcom Corp.;Technology;Semiconductor - Integrated Circuits;USA;64310;46.41;3.53;49.28;47.90;52.70;21.40;3.70;546.90;1.00;7.90;0.18;52.20;8.20
69;BRK-B;Berkshire Hathaway Inc.;Financial;Property & Casualty Insurance;USA;663250;16.90;0.00;-;-;-;9.80;9.60;0910;-;-;-;-;-
70;BSX;Boston Scientific Corporation;Healthcare;Medical Appliances & Equipment;USA;44240;-;3.74;40.00;0.00;33.30;-100.00;-0.30;3310;0.50;-3.90;0.66;70.70;-3.40
71;BWA;BorgWarner Inc.;Consumer Goods;Auto Parts;USA;45130;20.08;3.83;142.77;5.90;88.60;14.50;-4.80;225.24;0.50;18.40;0.52;21.20;8.20
72;BXP;Boston Properties Inc.;Financial;REIT - Office;USA;91180;34.43;3.27;-;-30.10;10.10;217.10;7.60;152.44;0.20;9.80;1.74;63.90;22.50
73;C;Citigroup Inc.;Financial;Money Center Banks;USA;491700;22.57;0.84;12.15;-48.40;18.00;23.80;-4.90;0330;0.10;3.70;1.04;-;12.30
74;CA;CA, Inc.;Technology;Business Software & Services;USA;37130;16.58;2.34;27.56;-7.10;4.70;50.00;-5.60;316.54;0.10;18.50;0.22;85.10;24.70
75;CAG;ConAgra Foods, Inc.;Consumer Goods;Processed & Packaged Goods;USA;73180;-;4.20;39.42;-62.20;-12.30;-528.80;-1.80;424.93;0.30;-15.00;1.88;20.30;-4.90
76;CAH;Cardinal Health, Inc.;Services;Drugs Wholesale;USA;67280;25.34;4.49;16.98;247.40;9.90;19.80;18.40;330.33;0.20;18.40;0.63;5.60;1.20
77;CAM;Cameron International Corporation;Basic Materials;Oil & Gas Equipment & Services;USA;33100;37.76;2.48;12.84;47.30;12.70;-502.00;-2.40;189.02;1.10;18.50;0.68;28.10;8.30
78;CAT;Caterpillar Inc.;Industrial Goods;Farm & Construction Machinery;USA;35520;13.90;3.09;22.73;2.30;32.70;25.70;-4.10;602.24;0.10;21.20;2.29;27.20;7.10
79;CB;The Chubb Corporation;Financial;Property & Casualty Insurance;USA;99210;11.34;1.38;12.41;-4.60;6.90;-11.10;-0.80;229.00;0.30;12.40;0.20;-;14.40
80;CBG;CBRE Group, Inc.;Financial;Property Management;USA;39120;24.48;5.46;21.52;66.70;64.60;40.00;10.30;328.80;0.50;23.20;1.31;37.90;5.50
81;CBS;CBS Corporation;Services;Entertainment - Diversified;USA;23280;23.80;4.45;40.38;-13.60;48.80;1.30;-2.00;449.01;0.40;38.60;1.21;41.00;21.00
82;CCE;Coca-Cola Enterprises Inc.;Consumer Goods;Beverages - Soft Drinks;USA;36100;17.17;10.29;21.45;7.80;9.10;-9.10;-12.80;213.61;0.80;42.30;4.13;36.00;8.00
83;CCI;Crown Castle International Corp.;Technology;Diversified Communication Services;USA;34270;74.47;4.17;193.23;300.00;33.30;25.90;7.40;331.34;0.80;5.50;1.85;63.30;9.80
84;CCL;Carnival Corporation;Services;Resorts & Casinos;USA;17390;29.96;1.67;-;14.40;-6.60;300.00;-1.50;616.02;14.60;5.40;0.39;35.90;8.20
85;CELG;Celgene Corporation;Healthcare;Biotechnology;USA;23940;40.55;14.03;32.34;42.30;23.60;160.60;20.30;789.13;0.20;40.80;1.01;95.00;30.40
86;CERN;Cerner Corporation;Technology;Healthcare Information Services;USA;81230;46.75;6.40;58.57;32.70;20.90;-5.90;26.90;306.07;2.10;14.80;0.17;82.20;14.30
87;CF;CF Industries Holdings, Inc.;Basic Materials;Agricultural Chemicals;USA;05150;17.43;3.77;-;-78.10;29.50;-62.90;-15.80;235.17;0.10;21.20;1.13;38.40;20.00
88;CHK;Chesapeake Energy Corporation;Basic Materials;Independent Oil & Gas;USA;3970;-;0.73;-;126.00;16.80;-;-45.30;659.05;1.10;-22.90;1.15;91.10;-15.40
89;CHRW;CH Robinson Worldwide Inc.;Services;Air Delivery & Freight Services;USA;1190;19.83;8.63;25.60;15.10;7.40;15.90;5.00;143.80;1.20;44.80;1.13;15.20;3.40
90;CI;Cigna Corp.;Healthcare;Health Care Plans;USA;69430;21.60;3.98;26.23;51.20;10.70;3.00;11.40;250.31;0.40;19.20;0.55;-;5.90
91;CINF;Cincinnati Financial Corp.;Financial;Property & Casualty Insurance;USA;3080;14.84;1.25;12.38;1.60;3.70;40.00;8.10;141.73;3.80;8.70;0.13;-;11.10
92;CL;Colgate-Palmolive Co.;Consumer Goods;Personal Products;USA;12600;26.27;130.31;58.08;-0.80;1.60;40.50;-5.90;901.67;0.40;194.30;13.32;58.70;13.70
93;CLX;The Clorox Company;Consumer Goods;Housewares & Accessories;USA;93130;23.98;46.38;43.68;-1.20;5.10;-7.00;2.60;130.92;0.20;246.80;7.17;42.70;10.00
94;CMA;Comerica Incorporated;Financial;Money Center Banks;USA;3390;16.59;1.23;17.21;11.20;42.90;0.00;0.00;176.72;0.90;7.80;0.36;-;33.20
95;CMCSA;Comcast Corporation;Services;Entertainment - Diversified;USA;001530;18.45;2.94;23.50;25.00;20.50;14.10;2.60;4920;0.10;16.30;0.90;70.40;12.40
96;CME;CME Group Inc.;Financial;Investment Brokerage - National;USA;73310;26.55;1.50;-;14.70;6.20;24.10;8.40;320.64;0.20;5.60;0.14;-;37.50
97;CMG;Chipotle Mexican Grill, Inc.;Services;Restaurants;USA;86180;39.49;8.83;39.27;35.00;29.00;47.00;20.40;30.54;1.20;24.90;0.00;27.50;11.30
98;CMI;Cummins Inc.;Industrial Goods;Diversified Machinery;USA;31240;14.37;3.14;28.47;14.00;33.10;16.90;6.90;180.95;0.20;21.90;0.22;25.50;8.70
99;CMS;CMS Energy Corp.;Utilities;Electric Utilities;USA;6980;18.14;2.27;-;4.80;16.00;-2.70;-16.30;274.27;0.90;12.80;2.32;58.80;7.00
100;CNP;CenterPoint Energy, Inc.;Utilities;Gas Utilities;USA;2480;14.85;1.80;-;95.80;6.90;-30.20;-23.10;428.47;0.30;12.40;1.95;26.40;6.60
101;CNX;CONSOL Energy Inc.;Basic Materials;Independent Oil & Gas;USA;2150;42.19;0.99;-;108.60;-24.40;-35.80;-13.30;226.45;0.80;2.40;0.64;41.40;3.80
102;COF;Capital One Financial Corporation;Financial;Credit Services;USA;55480;11.63;1.07;7.00;3.00;50.60;3.10;4.60;543.54;0.70;9.70;0.73;-;22.00
103;COG;Cabot Oil & Gas Corporation;Basic Materials;Independent Oil & Gas;USA;20130;398.87;6.07;-;-62.10;-6.50;-61.50;-8.80;406.69;1.50;6.40;0.86;73.70;6.80
104;COH;Coach, Inc.;Consumer Goods;Textile - Apparel Footwear & Accessories;USA;8790;21.26;3.88;19.84;-22.70;7.90;-52.90;-15.50;273.59;0.10;18.80;0.35;69.60;10.80
105;COL;Rockwell Collins Inc.;Industrial Goods;Aerospace/Defense Products & Services;USA;55120;19.20;6.44;36.80;-1.10;4.10;13.00;6.50;131.65;0.30;34.00;1.27;30.30;12.40
106;COP;ConocoPhillips;Basic Materials;Independent Oil & Gas;USA;71760;19.82;1.59;-;-28.30;9.30;-87.00;-48.80;2310;0.02;9.50;0.46;41.50;11.10
107;COST;Costco Wholesale Corporation;Services;Discount, Variety Stores;USA;41600;26.38;5.71;-;0.40;13.50;8.40;1.20;435.86;0.50;20.30;0.57;12.90;2.00
108;CPB;Campbell Soup Company;Consumer Goods;Processed & Packaged Goods;USA;81140;19.71;9.32;46.14;7.40;2.80;0.00;-3.60;173.75;0.30;47.80;2.37;34.30;9.20
109;CRM;salesforce.com, inc.;Technology;Application Software;USA;29480;-;11.36;83.53;-7.70;-35.80;106.30;23.20;614.07;5.80;-4.20;0.48;75.60;-2.90
110;CSC;Computer Sciences Corporation;Technology;Information Technology Services;USA;1490;1327.00;3.20;13.90;-97.50;-51.60;-98.90;-77.60;136.05;0.30;-0.20;0.91;21.70;-0.10
111;CSCO;Cisco Systems, Inc.;Technology;Networking & Communication Devices;USA;441440;16.42;2.46;21.23;-19.90;7.30;11.90;5.10;0850;0.10;15.50;0.36;60.30;18.30
112;CSX;CSX Corp.;Services;Railroads;USA;29330;17.02;2.95;147.32;4.90;15.10;15.40;0.50;984.51;0.30;21.30;0.86;69.10;18.70
113;CTAS;Cintas Corporation;Services;Business Services;USA;8290;23.78;4.87;48.40;21.00;15.70;14.50;-0.20;94.59;0.30;26.20;0.63;42.90;12.70
114;CTL;CenturyLink, Inc.;Technology;Telecom Services - Domestic;USA;87160;22.33;1.14;18.18;440.00;-11.80;-2.90;-1.90;560.90;0.40;4.80;1.39;56.50;4.20
115;CTSH;Cognizant Technology Solutions Corporation;Technology;Business Software & Services;USA;89380;26.54;4.75;30.43;16.30;21.40;8.80;20.20;607.69;0.20;19.50;0.13;42.00;13.70
116;CTXS;Citrix Systems, Inc.;Technology;Business Software & Services;USA;48110;52.65;5.47;17.50;-18.30;7.40;-40.00;1.30;159.11;0.70;10.60;0.66;80.40;7.10
117;CVC;Cablevision Systems Corporation;Services;CATV Systems;USA;6860;23.99;-;25.07;137.50;21.00;-41.20;2.50;213.22;1.70;-5.20;-;51.40;4.10
118;CVS;CVS Health Corporation;Healthcare;Health Care Plans;USA;491180;25.61;3.20;26.81;5.90;9.30;12.60;11.10;1310;0.10;12.50;0.35;17.90;3.30
119;CVX;Chevron Corporation;Basic Materials;Major Integrated Oil & Gas;USA;931840;10.76;1.18;-;-8.60;14.10;-41.90;-36.30;8810;0.02;11.10;0.22;37.10;9.50
120;D;Dominion Resources, Inc.;Utilities;Electric Utilities;USA;60390;26.71;3.28;-;-27.50;1.10;41.50;-6.10;588.31;0.30;12.60;2.20;92.80;12.00
121;DAL;Delta Air Lines, Inc.;Services;Major Airlines;USA;77340;30.43;3.85;11.09;-93.60;20.30;260.00;5.30;813.92;0.20;11.30;1.06;41.60;2.90
122;DD;E. I. du Pont de Nemours and Company;Basic Materials;Agricultural Chemicals;USA;88590;19.01;4.77;1497.04;28.60;15.30;-26.60;-9.40;904.14;0.20;22.10;0.83;37.30;9.40
123;DE;Deere & Company;Industrial Goods;Farm & Construction Machinery;USA;38310;13.11;3.88;51.11;-5.10;33.20;-23.40;-17.90;333.61;0.10;28.40;4.57;30.90;7.80
124;DFS;Discover Financial Services;Financial;Credit Services;USA;13260;12.15;2.48;8.33;-1.20;32.10;-2.30;5.20;438.55;1.20;20.80;2.15;-;28.90
125;DG;Dollar General Corporation;Services;Discount, Variety Stores;USA;39230;21.80;4.40;24.58;10.10;27.40;16.70;8.80;296.75;0.10;20.40;0.50;30.80;5.70
126;DGX;Quest Diagnostics Inc.;Healthcare;Medical Laboratories & Research;USA;46100;20.99;2.47;25.03;-28.50;-0.50;-40.80;5.30;142.76;0.40;12.20;1.12;37.90;6.80
127;DHI;DR Horton Inc.;Industrial Goods;Residential Construction;USA;21100;17.97;1.88;-;15.00;23.20;5.30;38.20;327.60;10.68;11.00;0.73;20.80;6.10
128;DHR;Danaher Corp.;Industrial Goods;Diversified Machinery;USA;44600;23.66;2.59;20.81;-4.20;17.40;-2.50;4.50;619.96;1.50;11.00;0.14;52.60;12.90
129;DIS;The Walt Disney Company;Services;Entertainment - Diversified;USA;191940;24.61;4.22;38.77;26.00;19.30;13.90;7.00;5610;0.10;17.80;0.32;34.30;15.80
130;DISCA;Discovery Communications, Inc.;Services;CATV Systems;USA;91130;19.53;2.79;13.72;11.40;5.20;12.10;8.90;405.42;1.20;16.20;1.42;65.50;14.50
131;DISCK;Discovery Communications, Inc.;Services;CATV Systems;USA;9980;18.62;3.92;-;4.80;0.00;8.70;8.90;-;10.22;-;-;-;-
132;DLPH;Delphi Automotive PLC;Consumer Goods;Auto Parts;United Kingdom;62250;20.08;11.98;24.61;15.20;-30.90;-2.00;-2.60;287.35;0.80;46.40;1.26;19.00;7.50
133;DLTR;Dollar Tree, Inc.;Services;Discount, Variety Stores;USA;59160;31.31;8.87;30.85;6.30;19.40;-49.30;8.80;197.98;2.10;31.70;4.18;35.20;6.00
134;DNB;Dun & Bradstreet Corp.;Technology;Information & Delivery Services;USA;5740;18.55;-;23.58;22.00;5.90;-50.00;-1.50;35.94;0.40;-21.80;-;66.40;14.90
135;DNR;Denbury Resources Inc.;Basic Materials;Independent Oil & Gas;USA;3420;4.90;0.41;93.66;63.10;51.70;-282.40;-52.10;350.24;0.80;8.60;0.65;99.00;22.30
136;DO;Diamond Offshore Drilling, Inc.;Basic Materials;Oil & Gas Drilling & Exploration;USA;6030;-;0.86;-;-28.90;-22.20;-277.10;-12.60;137.09;53.20;-0.30;0.54;41.70;-0.50
137;DOV;Dover Corporation;Industrial Goods;Diversified Machinery;USA;38110;16.20;3.21;16.43;0.20;18.20;-27.30;-4.80;159.02;0.40;31.50;0.79;38.10;15.50
138;DOW;The Dow Chemical Company;Basic Materials;Chemicals - Major Diversified;USA;36610;16.74;3.31;48.50;-16.10;68.70;40.50;-14.50;1510;0.20;18.90;1.09;19.30;6.80
139;DPS;Dr Pepper Snapple Group, Inc.;Consumer Goods;Beverages - Soft Drinks;USA;32140;20.81;6.49;27.59;16.70;10.40;3.80;3.80;191.10;0.30;30.80;1.18;58.90;11.40
140;DRI;Darden Restaurants, Inc.;Services;Restaurants;USA;9680;71.95;3.97;-;-23.30;-12.20;55.40;6.90;124.77;0.10;41.30;0.68;20.30;13.60
141;DTE;DTE Energy Company;Utilities;Electric Utilities;USA;25130;15.39;1.52;-;35.20;9.50;-16.80;-24.10;177.56;0.30;10.30;1.04;25.90;7.50
142;DTV;DIRECTV;Services;CATV Systems;USA;28470;16.28;-;14.85;4.40;41.60;32.10;3.70;501.63;0.10;-52.40;-;46.60;8.70
143;DUK;Duke Energy Corporation;Utilities;Electric Utilities;USA;88480;20.14;1.22;-;-4.70;7.20;2.80;-3.20;674.59;0.10;6.70;1.07;66.80;11.60
144;DVA;DaVita HealthCare Partners Inc.;Healthcare;Specialized Health Services;USA;40170;41.07;3.47;21.36;15.20;10.40;-161.20;8.10;209.40;0.20;8.60;1.71;28.70;3.30
145;DVN;Devon Energy Corporation;Basic Materials;Independent Oil & Gas;USA;82240;-;1.36;-;-61.10;21.30;-;-12.30;387.08;0.60;-9.70;0.65;87.80;-10.50
146;EA;Electronic Arts Inc.;Technology;Multimedia & Graphics Software;USA;22210;25.17;6.89;21.83;12.70;26.90;11.20;5.50;312.01;0.60;31.50;0.21;68.30;19.40
147;EBAY;eBay Inc.;Services;Specialty Retail, Other;USA;83740;25.88;3.83;17.54;-98.20;-53.40;128.00;4.40;1210;8.10;15.30;0.39;67.80;16.60
148;ECL;Ecolab Inc.;Consumer Goods;Cleaning Products;USA;53340;28.42;5.03;64.08;0.00;17.70;24.20;-1.20;296.45;0.40;17.00;1.05;46.60;8.70
149;ED;Consolidated Edison, Inc.;Utilities;Electric Utilities;USA;84160;15.37;1.32;-;2.80;3.40;2.40;-4.60;292.28;0.20;8.70;1.00;68.50;8.60
150;EFX;Equifax Inc.;Financial;Credit Services;USA;86110;32.88;5.54;27.41;10.00;11.80;9.00;11.50;118.03;0.80;16.40;0.71;65.90;14.90
151;EIX;Edison International;Utilities;Electric Utilities;USA;25180;12.04;1.65;-;62.50;10.80;51.70;-14.10;325.08;0.19;16.10;1.14;59.20;13.30
152;EL;The Estee Lauder Companies Inc.;Consumer Goods;Personal Products;USA;83320;28.17;8.51;33.94;18.60;41.00;31.50;1.20;226.99;1.00;31.20;0.38;80.50;10.90
153;EMC;EMC Corporation;Technology;Data Storage Devices;USA;51520;21.46;2.61;13.35;-1.50;20.00;-31.60;2.40;9310;0.50;13.60;0.27;62.00;12.10
