No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
356;PEG;Public Service Enterprise Group Inc.;Utilities;Diversified Utilities;USA;82190;11.58;1.58;2831.28;22.00;-1.00;51.30;-2.70;506.13;0.20;14.10;0.72;39.10;15.90
357;PEP;Pepsico, Inc.;Consumer Goods;Beverages - Soft Drinks;USA;971390;22.10;8.87;34.98;-1.20;2.50;2.50;-3.20;4710;0.20;32.60;1.91;53.90;9.80
358;PFE;Pfizer Inc.;Healthcare;Drug Manufacturers - Major;USA;482090;23.46;3.14;32.75;-14.50;3.10;8.60;-4.30;1560;0.10;15.70;0.53;81.00;23.40
359;PFG;Principal Financial Group Inc.;Financial;Life Insurance;USA;33150;12.61;1.47;5.84;26.10;13.60;41.80;6.70;293.22;0.50;11.90;0.24;-;11.50
360;PG;The Procter & Gamble Company;Consumer Goods;Personal Products;USA;392150;23.56;3.49;51.37;4.00;2.80;-1.20;-7.60;7120;0.10;13.70;0.53;49.40;11.30
361;PGR;Progressive Corp.;Financial;Property & Casualty Insurance;USA;51160;13.29;2.30;12.53;11.40;6.50;-7.40;4.00;571.40;0.60;18.00;0.36;-;6.40
362;PH;Parker-Hannifin Corporation;Industrial Goods;Industrial Equipment & Components;USA;40160;15.42;3.19;19.74;9.70;17.00;26.30;-5.80;137.27;0.40;18.80;0.66;24.50;8.70
363;PHM;PulteGroup, Inc.;Industrial Goods;Residential Construction;USA;4570;16.47;1.58;122.46;-81.30;18.30;-21.10;1.30;330.83;0.90;11.10;0.41;23.30;9.00
364;PKI;PerkinElmer Inc.;Healthcare;Medical Laboratories & Research;USA;1160;36.99;2.95;31.77;-7.80;17.60;16.10;-0.70;112.12;1.00;7.90;0.49;45.00;7.30
365;PLD;Prologis, Inc.;Financial;REIT - Industrial;USA;97190;20.49;1.35;-;207.50;20.90;5000.40;6.50;519.21;0.20;7.00;0.59;69.80;54.10
366;PLL;Pall Corporation;Industrial Goods;Diversified Machinery;USA;29130;34.95;8.16;39.94;12.50;14.70;11.30;-0.20;106.66;0.10;23.30;0.72;51.40;13.60
367;PM;Philip Morris International, Inc.;Consumer Goods;Cigarettes;USA;951250;17.08;-;-;-9.50;8.00;-1.70;-4.40;5510;0.30;-81.00;-;65.10;31.40
368;PNC;The PNC Financial Services Group, Inc.;Financial;Money Center Banks;USA;45500;13.42;1.13;17.62;-0.80;11.40;-3.80;-3.80;516.44;0.20;8.70;0.64;-;41.50
369;PNR;Pentair plc;Industrial Goods;Industrial Equipment & Components;United Kingdom;44110;20.03;2.59;22.18;25.20;21.80;3.20;-10.30;178.68;0.30;6.70;0.77;35.10;4.80
370;PNW;Pinnacle West Capital Corporation;Utilities;Electric Utilities;USA;2460;15.73;1.42;-;-2.20;7.60;0.00;-2.20;110.21;0.40;9.10;0.84;40.60;11.40
371;POM;Pepco Holdings, Inc.;Utilities;Electric Utilities;USA;7760;30.76;1.57;-;113.30;-1.00;-30.00;3.10;252.10;0.60;5.10;1.41;95.80;4.50
372;PPG;PPG Industries, Inc.;Basic Materials;Specialty Chemicals;USA;12320;27.90;6.33;2470.73;34.10;31.00;33.30;0.70;272.70;0.40;20.60;0.91;43.00;7.60
373;PPL;PPL Corporation;Utilities;Electric Utilities;USA;80190;10.44;1.41;-;39.20;16.90;92.00;165.10;667.86;0.03;17.10;1.56;66.80;17.60
374;PRGO;Perrigo Company Public Limited Company;Healthcare;Drug Related Products;Ireland;67270;126.14;2.78;33.09;-62.00;3.10;-286.10;4.50;145.59;0.05;3.30;0.49;35.60;7.10
375;PRU;Prudential Financial, Inc.;Financial;Life Insurance;USA;65400;19.59;0.90;1.86;297.30;-15.90;68.50;20.90;451.69;0.20;5.10;0.66;-;3.80
376;PSA;Public Storage;Financial;REIT - Industrial;USA;75310;33.57;6.21;-;7.40;1.10;21.80;9.60;146.74;9.80;18.40;0.04;72.50;42.20
377;PSX;Phillips 66;Basic Materials;Oil & Gas Refining & Marketing;USA;73420;10.62;1.99;-;19.80;61.70;21.10;-43.50;540.63;0.05;19.30;0.41;17.80;2.90
378;PVH;PVH Corp.;Consumer Goods;Textile - Apparel Clothing;USA;6190;18.72;2.16;15.22;202.90;11.30;226.20;-4.30;82.45;0.40;11.60;0.79;52.50;6.30
379;PWR;Quanta Services, Inc.;Industrial Goods;General Contractors;USA;0760;21.62;1.46;22.97;-27.80;10.80;0.00;7.10;206.51;0.50;6.70;0.03;15.20;3.70
380;PX;Praxair Inc.;Basic Materials;Chemicals - Major Diversified;USA;23350;21.63;7.04;94.72;-2.40;7.40;-5.30;-8.90;287.90;0.10;27.60;1.87;43.60;13.80
381;PXD;Pioneer Natural Resources Co.;Basic Materials;Independent Oil & Gas;USA;24210;25.26;2.50;-;343.50;49.20;-149.50;-39.90;147.79;1.00;10.90;0.31;59.40;21.60
382;QCOM;QUALCOMM Incorporated;Technology;Communication Equipment;USA;351060;15.46;2.84;44.89;12.50;32.70;-44.70;8.30;6310;0.17;18.50;0.03;60.30;26.00
383;QEP;QEP Resources, Inc.;Basic Materials;Oil & Gas Pipelines;USA;2930;-;0.82;-;-886.20;-31.20;-557.10;-39.90;175.28;0.80;19.50;0.56;59.50;23.60
384;R;Ryder System, Inc.;Services;Rental & Leasing Services;USA;7840;21.20;2.60;-;-10.60;20.60;8.70;-2.70;52.80;0.60;14.30;2.60;21.40;4.10
385;RAI;Reynolds American Inc.;Consumer Goods;Cigarettes;USA;60480;27.26;8.98;258.51;-14.00;10.50;15.90;6.30;517.53;0.10;31.60;1.12;53.70;17.40
386;RCL;Royal Caribbean Cruises Ltd.;Services;Resorts & Casinos;USA;58170;22.78;2.20;-;60.30;37.00;66.70;-3.80;172.34;1.30;9.20;1.06;34.70;9.80
387;REGN;Regeneron Pharmaceuticals, Inc.;Healthcare;Biotechnology;USA;63530;164.84;17.86;243.98;-19.40;41.20;8.20;39.00;76.01;0.30;13.70;0.16;92.00;11.70
388;RF;Regions Financial Corporation;Financial;Regional - Southeast Banks;USA;17140;14.48;0.88;9.98;1.30;21.00;-23.80;-1.30;3410;0.30;6.30;0.20;-;28.20
389;RHI;Robert Half International Inc.;Services;Staffing & Outsourcing Services;USA;5770;23.44;7.57;37.52;23.50;56.60;28.90;11.20;130.52;3.30;32.90;0.00;41.10;6.70
390;RHT;Red Hat, Inc.;Technology;Application Software;USA;50140;78.34;10.74;23.79;2.20;16.10;30.00;13.50;181.87;0.60;14.10;0.53;84.80;10.30
391;RIG;Transocean Ltd.;Basic Materials;Oil & Gas Drilling & Exploration;Switzerland;9150;-;0.44;20.61;-235.80;-20.40;-203.10;-12.70;363.04;0.06;-16.50;0.76;44.50;-27.00
392;RL;Ralph Lauren Corporation;Consumer Goods;Textile - Apparel Clothing;USA;75110;17.28;3.06;34.05;-6.50;10.70;-15.60;1.00;85.77;1.00;17.60;0.20;57.50;9.20
393;ROK;Rockwell Automation Inc.;Industrial Goods;Diversified Machinery;USA;69160;19.72;6.52;27.72;10.30;31.00;18.00;-3.10;133.82;0.60;33.00;0.59;42.60;13.20
394;ROP;Roper Technologies, Inc.;Industrial Goods;Diversified Machinery;USA;60170;27.02;3.66;22.98;19.20;19.90;5.50;3.70;98.90;1.60;14.00;0.55;59.50;18.30
395;ROST;Ross Stores Inc.;Services;Apparel Stores;USA;48200;21.46;8.70;40.73;13.90;20.00;19.00;9.60;402.07;0.70;43.00;0.17;28.30;8.50
396;RRC;Range Resources Corporation;Basic Materials;Independent Oil & Gas;USA;6380;13.72;2.43;-;441.40;72.20;-20.00;-43.80;164.95;2.50;19.80;0.93;82.70;36.60
397;RSG;Republic Services, Inc.;Industrial Goods;Waste Management;USA;93130;24.03;1.80;42.54;-5.60;3.30;32.40;4.40;350.92;31.10;7.50;0.97;36.80;6.60
398;RTN;Raytheon Company;Industrial Goods;Aerospace/Defense Products & Services;USA;98290;14.26;3.12;70.53;16.90;7.30;-4.30;-4.00;303.95;0.30;20.60;0.55;24.90;9.70
