country	iso	region	PI-Region	pi_score2012	pi_score2013	pi_score2014	pi_score2015	eco_score2012	eco_score2013	eco_score2014	eco_score2015	eo_score2012	eo_score2013	eo_score2014	eo_score2015	gov_score2012	gov_score2013	gov_score2014	gov_score2015	edu_score2012	edu_score2013	edu_score2014	edu_score2015	health_score2012	health_score2013	health_score2014	health_score2015	ss_score2012	ss_score2013	ss_score2014	ss_score2015	pf_score2012	pf_score2013	pf_score2014	pf_score2015	sk_score2012	sk_score2013	sk_score2014	sk_score2015
Ecuador	ECU	America Latin and the Caribbean	The Americas	-0.488359212875366	-0.417872190475464	-0.350477933883667	-0.123681902885437	0.702525973320007	0.744840085506439	1.08882582187653	1.30380320549011	-0.400430709123611	0.0446943007409573	0.14030259847641	0.38498330116272	-1.84116995334625	-1.56108605861664	-1.4895715713501	-1.2414778470993	0.218268305063248	0.300100296735764	-0.0102369943633676	0.325339257717133	0.174356892704964	-0.0286676995456219	0.0611115097999573	0.337806046009064	-1.21391701698303	-1.44381403923035	-1.39339184761047	-1.12223720550537	0.515439987182617	0.635078012943268	1.09049808979034	0.896409630775452	-2.06194806098938	-2.03412199020386	-2.29136109352112	-1.8740816116333
Egypt. Arab Rep.	EGY	MENA	MENA	-1.32813000679016	-1.40547299385071	-1.56537771224976	-1.36552500724792	-0.836978495121002	-0.75823038816452	-1.11396849155426	-0.425236225128174	-0.321863204240799	-0.317946702241898	-0.261077523231506	-0.0599393919110298	-1.18545699119568	-1.60058903694153	-2.06586003303528	-1.9259797334671	-0.933823585510254	-1.15249502658844	-1.23737466335297	-1.06089639663696	0.223210394382477	0.185118198394775	-0.172870516777039	0.136732280254364	-1.73855996131897	-1.86902594566345	-1.84157657623291	-1.61043834686279	-4.21666097640991	-4.81050109863281	-4.22395133972168	-3.90852308273315	-1.61490297317505	-0.920116722583771	-1.6063426733017	-2.06991958618164
El Salvador	SLV	America Latin and the Caribbean	The Americas	-0.758261978626251	-0.573720574378967	-0.489149510860443	-0.601037740707398	-0.0824671983718872	0.190409794449806	0.447575896978378	0.207260653376579	-0.586336672306061	-0.348397493362427	-0.249226719141006	-0.151081383228302	-0.735628724098205	-0.844625413417816	-0.882153868675232	-0.857296466827393	-1.09689903259277	-0.994178712368012	-1.34141278266907	-1.39774870872498	0.103105202317238	-0.0758975967764854	0.0149827897548676	-0.0245346128940582	-1.13625705242157	-0.742404282093048	-0.577000141143799	-1.1945481300354	-0.335317701101303	-0.387444406747818	-0.298288524150848	0.0646459460258484	-2.19629502296448	-1.38722598552704	-1.02767276763916	-1.45499932765961
Estonia	EST	Eastern Europe	Europe	1.12204098701477	1.08219003677368	1.15043270587921	1.42963588237762	0.382612586021423	0.334492385387421	0.778545618057251	1.73603868484497	2.12868905067444	2.24447393417358	2.38712906837463	2.61733317375183	1.86860203742981	1.64198899269104	1.58844196796417	1.79366660118103	1.4492609500885	1.3961900472641	1.10096502304077	1.0870441198349	1.22733998298645	1.21634697914124	1.28755497932434	1.35447704792023	1.21079802513123	1.4010009765625	1.56306862831116	1.49638223648071	-0.104974202811718	-0.0459351018071175	-0.0021064281463623	0.452179193496704	0.813999712467194	0.468960285186768	0.499862819910049	0.899965643882751
Ethiopia	ETH	Africa Sub-Saharan	Africa Sub-Saharan	-2.70065402984619	-2.20437908172607	-2.16411542892456	-1.99466371536255	-1.82905304431915	-1.51643705368042	-0.502126097679138	-0.194940775632858	-2.65850305557251	-2.71465396881104	-2.43042349815369	-2.45354533195496	-2.13572907447815	-1.99891400337219	-1.54950523376465	-1.45641136169434	-4.06249189376831	-3.15924096107483	-3.83940100669861	-3.95230388641357	-2.82633805274963	-3.20076394081116	-2.56832242012024	-2.2489230632782	-3.2057409286499	-2.71926093101501	-2.96261405944824	-2.6245265007019	-3.67190408706665	-0.0102436998859048	-1.0385627746582	-0.92106556892395	-1.21546900272369	-2.31551790237427	-2.42196822166443	-2.10559320449829
Finland	FIN	Europe	Europe	3.07647395133972	2.97310590744019	3.01551938056946	3.0131664276123	2.40437507629395	1.76798903942108	2.01605606079102	1.78010082244873	3.93815803527832	3.96330809593201	3.85688066482544	3.83025979995728	3.69724893569946	3.68400001525879	3.64030623435974	3.72407388687134	2.43214201927185	2.45766401290894	2.27492475509644	2.23000144958496	2.53050303459167	2.47486901283264	2.52706480026245	2.56502962112427	3.44147396087646	3.42168188095093	3.62817049026489	3.61308169364929	2.57950401306152	2.79019594192505	2.72766494750977	2.84349489212036	3.58838605880737	3.22513604164124	3.4530873298645	3.51928973197937
France	FRA	Europe	Europe	2.10066795349121	2.0547308921814	2.0657422542572	2.05932211875916	2.0248589515686	2.04678511619568	2.21582746505737	2.1106653213501	2.71017909049988	2.75549793243408	2.82677841186523	3.12945747375488	2.42436003684998	2.35950398445129	2.35594487190247	2.26705932617187	1.83138203620911	1.90939295291901	1.69976651668549	1.62365555763245	2.83013606071472	2.81927108764648	2.91507148742676	2.93733501434326	1.56613898277283	1.82621002197266	1.84161329269409	1.72770881652832	2.85076498985291	2.30749702453613	2.66306900978088	2.5347592830658	0.567525506019592	0.413690388202667	0.00786644220352173	0.143936172127724
Georgia	GEO	Asia Western	Europe	-0.817533075809479	-0.545721113681793	-0.44001042842865	-0.352746695280075	-2.11150503158569	-0.679459929466248	-0.286759048700333	-0.892624974250793	-0.124214597046375	0.244572803378105	0.458650052547455	0.554681479930878	0.0243094004690647	0.481888502836227	0.591764032840729	0.437237143516541	0.346660286188126	0.331209897994995	-0.145119607448578	0.334609061479568	0.0964640006422997	-0.544290602207184	-0.567584872245789	0.20065051317215	0.0370939001441002	-0.00163960002828389	-0.10404708981514	0.055316511541605	-0.217189699411392	-0.0839195027947426	0.368103235960007	0.123838230967522	-4.59188318252564	-4.1141300201416	-3.83509016036987	-3.63568162918091
Germany	DEU	Europe	Europe	2.60145711898804	2.64563298225403	2.65874457359314	2.76097464561462	2.77665901184082	2.71475005149841	2.90071630477905	3.1163318157196	3.12978410720825	3.20006990432739	3.34118127822876	3.3670539855957	2.59102988243103	2.63386511802673	2.76490545272827	2.82025074958801	1.97703301906586	2.12205600738525	2.09466242790222	2.0611264705658	2.99523997306824	3.18358397483826	3.11976289749145	3.25227689743042	2.22762393951416	2.41100406646729	2.37854337692261	2.41825079917908	3.24281191825867	3.11197090148926	2.84579539299011	2.85955691337585	1.87147200107574	1.78776299953461	1.82439017295837	2.19295024871826
Ghana	GHA	Africa Sub-Saharan	Africa Sub-Saharan	-0.741765677928925	-1.06199097633362	-0.87031900882721	-0.949863314628601	-1.18895304203033	-1.56354796886444	-0.922364234924316	-1.48359608650208	-1.20222902297974	-1.01237297058105	-0.755380868911743	-0.742051362991333	-0.0807776004076004	-0.36454451084137	-0.457106709480286	-0.554466903209686	-1.71741700172424	-1.92446994781494	-1.9592878818512	-1.74732959270477	-1.13871097564697	-1.23936998844147	-1.35593771934509	-1.27107977867126	-0.246364206075668	-0.227071896195412	0.0226957201957703	-0.0134983062744141	0.842298984527588	-0.2625932097435	0.23545178771019	0.209884002804756	-1.20197200775146	-1.90195798873901	-1.77062225341797	-1.99676871299744
